epoch,accuracy,common_voice_val_auc,common_voice_val_eer,librispeech_val_auc,librispeech_val_eer,loss,lr,sitw_val_auc,sitw_val_eer,tcof_val_auc,tcof_val_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.0,0.9588701288309194,0.04112987116908058,0.7620998330699728,0.3124845691712616,17.081792779375807,0.1,0.49971494825348967,0.5518461909741774,0.5771130713712911,0.5,0.003416666666666667,6.374085972297853,0.0025864856126737797,6.432240701100816
2,0.0,0.9743138353204768,0.025686164679523085,0.8149552703457614,0.24886840589251913,15.97927384405049,0.1,0.5181156505650321,0.5348724961789075,0.6544907778668805,0.4,0.014083333333333333,5.947023979269615,0.01325573876495312,5.974985740692862
3,0.0,0.9889573497639433,0.011042650236056653,0.8477385449898708,0.22922636103151858,15.655646404105402,0.1,0.5971326942111761,0.4430858338025903,0.6251483560545309,0.4874097834803528,0.0032916666666666667,6.90812127802882,0.003556417717426447,6.936330366973593
4,0.0,0.9882371769224614,0.01176282307753861,0.8539483703040465,0.23940416426631553,15.087139904770849,0.1,0.6035647207367275,0.4782608695652174,0.6726062550120289,0.37826784282277465,0.0020416666666666665,6.963183400175146,0.0012932428063368898,6.994558543372631
5,0.0,0.9771945266864048,0.022805473313595264,0.8675253773021853,0.21290428771294545,14.730498239485152,0.1,0.5911588490205063,0.46898881827688843,0.6831756214915798,0.4,0.007625,6.6479513201570954,0.0045263498221791145,6.696662377809916
6,0.0,0.9654317036088661,0.034568296391133874,0.8317494356472835,0.2320916905444126,14.64626322739182,0.1,0.5791272170205622,0.4347826086956522,0.7387008821170811,0.30000000000000004,0.012958333333333334,6.346106744046538,0.011315874555447785,6.392381696859286
7,0.0,0.9704729134992398,0.02952708650076018,0.851019843662566,0.22335610237840506,14.567809464064098,0.1,0.5569841175462467,0.4772745555466173,0.7157898957497995,0.30000000000000004,0.04516666666666667,5.281350997777245,0.03718073068218558,5.38718743230254
8,0.0,0.9649515883812114,0.03504841161878851,0.8426933861611022,0.24068767908309452,13.887919345850197,0.1,0.5899696760902792,0.47826086956521746,0.7365437048917401,0.30000000000000004,0.016875,6.133369238505101,0.014225670869705788,6.223620094738004
9,0.00010526315789473685,0.967592222133312,0.032407777866688005,0.859684924584367,0.2234384001316764,14.038610356486435,0.1,0.595114597797232,0.43496098463518623,0.7439454691259022,0.30000000000000004,0.05416666666666667,5.588625293904451,0.041383769802780475,5.680520786632654
10,0.0003508771929824561,0.9855965431703609,0.014403456829639113,0.8436958152417796,0.22014649000082298,13.348799273230924,0.1,0.5358658053323913,0.5343898318719331,0.7454931836407378,0.30000000000000004,0.04958333333333333,5.751332962856541,0.0446168768186227,5.848074197108385
